Name,Price,Category,Description,Quantity
"Mango Smoothie",6.50,"Seasonal only","Special seasonal fruit",100
"Grape Smoothie",6.50,"Seasonal only","Special seasonal fruit with bubble",100
"Watermelon and Coconut Slush",7.50,"Seasonal only","Special seasonal fruit with Sago",100
"Milk Tea",4.50,"Milk Tea Series","Just a normal milk tea",100
"Bubble Tea",5.00,"Milk Tea Series","Milk tea but it has pearls this time",100
"Black Tea Latte",4.50,"Milk Tea Series","A delicious milk tea with more black tea base",100
"Bubble Tea Latte",4.50,"Milk Tea Series","A creamy milk tea with chewy pearls",100
"Green Tea",4.00,"Tea","Just a normal green tea",100
"Strawberry Smoothie",6.50,"Seasonal only","Special seasonal fruit with a sweet taste",100
"Peach Smoothie",6.50,"Seasonal only","Special seasonal fruit with a tangy taste",100
"Taro Milk Tea",5.00,"Milk Tea Series","Milk tea with taro flavor and pearls",100
"Honeydew Milk Tea",5.00,"Milk Tea Series","Milk tea with honeydew flavor and pearls",100
"Matcha Latte",4.50,"Milk Tea Series","Milk tea with matcha powder and milk foam",100
"Jasmine Green Tea",4.00,"Tea","A fragrant tea with floral notes",100
"Oolong Milk Tea",5.00,"Milk Tea Series","Milk tea with oolong tea base and pearls",100
"Thai Milk Tea",5.00,"Milk Tea Series","Milk tea with a mix of black tea and spices",100